id	measurementType	measurementValue	measurementUnit	measurementDeterminedBy	measurementRemarks
ec640ebf-5fbc-4853-9ab0-25fd48a8e7f1	Territoriality_BreedingSeason	2			Type B
ddad3e7a-f9a0-471a-b673-4b5ac22126f6	Territoriality_BreedingSeason	2			Type B
8b3e3b4c-bf50-4a4a-9d3f-6fe707ee4599	Territoriality_BreedingSeason	1			Type A
3fb6d11c-009e-4a53-9fb4-d9a54d417b32	Territoriality_BreedingSeason	1			Type A
04678c1f-dac2-46b5-b025-55953d667fec	Territoriality_BreedingSeason	1			Type A
603e5c63-b767-4d5e-8537-ed61f01ca9e8	Territoriality_BreedingSeason	1			Type A
e5da94e5-96b1-4298-b56c-84780acc1499	Territoriality_BreedingSeason	1			Type A
a1e6a866-3d62-42b8-b8b8-6c819865ae2f	Territoriality_BreedingSeason	1			Type A
089c72d2-be3a-4de6-bade-52eb7de2a2cb	Territoriality_BreedingSeason	1			Type A
52011861-4e97-4990-aa39-7f169eec6873	Territoriality_BreedingSeason	1			Type A
2f7a0243-86f9-4749-af83-abeeaf9099f3	Territoriality_BreedingSeason	2			Type B
9a4aa97e-40ba-4e33-97a2-23160fa55f53	Territoriality_BreedingSeason	2			Type B
21bd950b-f68e-4470-962e-87abaa6b7675	Territoriality_BreedingSeason	2			Type B
c768d415-f42a-4bb4-87dc-32575b3ab381	Territoriality_BreedingSeason	2			Type B
1c92be49-b15a-40cc-ac8b-7a1a580c8de3	Territoriality_BreedingSeason	2			Type B
b7d8748b-e3bd-4a3e-ac82-cb3306e47859	Territoriality_BreedingSeason	2			Type B
a1987c3a-db64-4fa0-97a5-9f4b821e408c	Territoriality_BreedingSeason	2			Type B
f2c5fc72-9a54-4945-af29-58e28b909311	Territoriality_BreedingSeason	2			Type B
4e8b2fee-6024-41cc-a8db-59bbd22a9fff	Territoriality_BreedingSeason	2			Type B
337722af-32d0-4379-89b7-03e2afd51482	Territoriality_BreedingSeason	2			Type B
3972f1ef-12e8-4e7c-9281-aef93da381ed	Territoriality_BreedingSeason	2			Type B
6d0a7f54-bdbb-4a8e-a297-2e268450b140	Territoriality_BreedingSeason	2			Type B
51e9aee6-84c9-419a-9e50-46d1024ad145	Territoriality_BreedingSeason	1			Type A
88670048-b47b-4916-b34c-c66d43e13a6a	Territoriality_BreedingSeason	1			Type A
dd50c6d7-06b8-477c-8f5c-958009ad4e4e	Territoriality_BreedingSeason	4			Type D
6006c09e-34af-4dc7-8650-fea434164129	Territoriality_BreedingSeason	4			Type D
