id	taxonID	scientificName	order	family	vernacularName	taxonRemarks	bibliographicCitation
57eed9d3-9ab6-47cc-83a2-234ad462df54	57eed9d3-9ab6-47cc-83a2-234ad462df54	Anser anser	Anseriformes	Anatidae	Graylag Goose, 灰雁	Anser anser	Severinghaus, L. L. et al. The Avifauna of Taiwan (Forest Bureau, Council of Agriculture, 2012) | Hsiao, M. C. & Li, C. A Field Guide to the Birds of Taiwan (Forest Bureau, Council of Agriculture, Wild Bird Society Of Taipei, 2015) | Billerman, S. M., Keeney, B. K., Rodewald, P. G. & Schulenberg, T. S. Birds of the World https://birdsoftheworld.org/bow/home (2022)
2e008f26-d355-4327-8381-cc3b1b062d5f	2e008f26-d355-4327-8381-cc3b1b062d5f	Anser cygnoides	Anseriformes	Anatidae	Swan Goose, 鴻雁	Anser cygnoides	Severinghaus, L. L. et al. The Avifauna of Taiwan (Forest Bureau, Council of Agriculture, 2012) | Hsiao, M. C. & Li, C. A Field Guide to the Birds of Taiwan (Forest Bureau, Council of Agriculture, Wild Bird Society Of Taipei, 2015) | Billerman, S. M., Keeney, B. K., Rodewald, P. G. & Schulenberg, T. S. Birds of the World https://birdsoftheworld.org/bow/home (2022)
36d36d29-c4b2-4691-9769-c15a64bb2c40	36d36d29-c4b2-4691-9769-c15a64bb2c40	Anser albifrons	Anseriformes	Anatidae	Greater White-fronted Goose, 白額雁	Anser albifrons	Zhang, J. X. & Lu, J. J. Feeding ecology of two wintering geese species at Poyang Lake, China. J. Freshw. Ecol. 14, 439-445 (1999). | Zhao, M., Cao, L., Klaassen, M., Zhang, Y. & Fox, A. Avoiding competition? Site use, diet and foraging behaviours in two similarly sized geese wintering in China. Ardea 103, 27-38 (2015). | Fan, Y., Zhou, L., Cheng, L., Song, Y. & Xu, W. Foraging behavior of the Greater White-fronted Goose (Anser albifrons) wintering at Shengjin Lake: diet shifts and habitat use. Avian Res. 11, 1-9 (2020).
5a414f51-7070-463f-8d7c-12bc2bab9819	5a414f51-7070-463f-8d7c-12bc2bab9819	Anser erythropus	Anseriformes	Anatidae	Lesser White-fronted Goose, 小白額雁	Anser erythropus	Karmiris, I., Kazantzidis, S., Platis, P. & Papachristou, T. G. Diet selection by wintering Lesser White-fronted Goose Anser erythropus and the role of food availability. Bird Conserv. Int. 27, 355-370 (2017).
6b8ef4c9-7b19-4a68-b3d7-e7cec8617ace	6b8ef4c9-7b19-4a68-b3d7-e7cec8617ace	Anser fabalis	Anseriformes	Anatidae	Taiga Bean-Goose, 寒林豆雁	Anser fabalis	Zhao, M., Cao, L., Klaassen, M., Zhang, Y. & Fox, A. Avoiding competition? Site use, diet and foraging behaviours in two similarly sized geese wintering in China. Ardea 103, 27-38 (2015).
24012731-eab5-42d7-9302-9c3bd6b4dce4	24012731-eab5-42d7-9302-9c3bd6b4dce4	Anser serrirostris	Anseriformes	Anatidae	Tundra Bean-Goose, 凍原豆雁	Anser serrirostris	Severinghaus, L. L. et al. The Avifauna of Taiwan (Forest Bureau, Council of Agriculture, 2012) | Hsiao, M. C. & Li, C. A Field Guide to the Birds of Taiwan (Forest Bureau, Council of Agriculture, Wild Bird Society Of Taipei, 2015) | Billerman, S. M., Keeney, B. K., Rodewald, P. G. & Schulenberg, T. S. Birds of the World https://birdsoftheworld.org/bow/home (2022)
70d3c5bb-2e0e-417e-a931-6f1f9df740e5	70d3c5bb-2e0e-417e-a931-6f1f9df740e5	Cygnus columbianus	Anseriformes	Anatidae	Tundra Swan, 小天鵝	Cygnus columbianus	Rees, E. C. & Bowler, J. M. Feeding activities of Bewick's Swans Cygnus columbianus bewickii at a migratory site in the Estonian SSR. Wildfowl Supplement 1, 249-255 (1991). | Liu, L. et al. Spring diet and energy intake of Tundra Swan (Cygnus columbianus) at the Yellow River National Wetland in Baotou, China. PeerJ. 10, e13113 (2022). https://doi.org/10.7717/peerj.13113
04749650-2eaa-437d-a1e7-1241f3026bae	04749650-2eaa-437d-a1e7-1241f3026bae	Tadorna ferruginea	Anseriformes	Anatidae	Ruddy Shelduck, 瀆鳧	Tadorna ferruginea	Nouidjem, Y., Zoubiri, A., Merouania, S. & Mimeche, F. Ecology and behavioral response of Ruddy Shelduck (Tadorna ferruginea) in the wetland complex of Oued Righ Valley (Algerian Sahara). Alger. j. biosciences 2, 1-5 (2021).
84c51197-b7a3-4bbf-8f74-00be0a4457aa	84c51197-b7a3-4bbf-8f74-00be0a4457aa	Tadorna tadorna	Anseriformes	Anatidae	Common Shelduck, 花鳧	Tadorna tadorna	Bouaguel, L., Charchar, N. & Houhamdi, M. Phenology and diurnal behavior of Common Shelduck Tadorna tadorna at Sebkhet Bazer(El-Eulma, Nouth-East of Hauts Plateaux, Algeria). Acta Biol. Sib. 7, 293-306 (2021). https://doi.org/10.3897/ABS.7.E68903
ceca07d4-b1c3-4dc1-a362-807fe833c88c	ceca07d4-b1c3-4dc1-a362-807fe833c88c	Nettapus coromandelianus	Anseriformes	Anatidae	Cotton Pygmy-Goose, 棉鴨	Nettapus coromandelianus	Severinghaus, L. L. et al. The Avifauna of Taiwan (Forest Bureau, Council of Agriculture, 2012) | Hsiao, M. C. & Li, C. A Field Guide to the Birds of Taiwan (Forest Bureau, Council of Agriculture, Wild Bird Society Of Taipei, 2015) | Billerman, S. M., Keeney, B. K., Rodewald, P. G. & Schulenberg, T. S. Birds of the World https://birdsoftheworld.org/bow/home (2022)
ec640ebf-5fbc-4853-9ab0-25fd48a8e7f1	ec640ebf-5fbc-4853-9ab0-25fd48a8e7f1	Aix galericulata	Anseriformes	Anatidae	Mandarin Duck, 鴛鴦	Aix galericulata	Severinghaus, L. L. et al. The Avifauna of Taiwan (Forest Bureau, Council of Agriculture, 2012) | Hsiao, M. C. & Li, C. A Field Guide to the Birds of Taiwan (Forest Bureau, Council of Agriculture, Wild Bird Society Of Taipei, 2015) | Billerman, S. M., Keeney, B. K., Rodewald, P. G. & Schulenberg, T. S. Birds of the World https://birdsoftheworld.org/bow/home (2022)
